ID,Customer Age (in months),CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1,"Churn (1 = Yes, 0 = No)",
1.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
2.00,67.00,62.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,31.00,0.00,
3.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
4.00,63.00,231.00,1.00,1.00,-1.00,3.00,0.00,167.00,-8.00,21996.00,0.00,0.00,
5.00,57.00,43.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,31.00,0.00,
6.00,58.00,138.00,-10.00,0.00,0.00,0.00,0.00,43.00,0.00,-33.00,0.00,0.00,
7.00,57.00,180.00,-5.00,1.00,1.00,3.00,3.00,13.00,-1.00,907.00,0.00,0.00,
8.00,46.00,116.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,6.00,0.00,
9.00,56.00,78.00,-7.00,1.00,-2.00,3.00,0.00,-9.00,1.00,0.00,7.00,0.00,
10.00,56.00,78.00,-37.00,0.00,0.00,0.00,0.00,-7.00,0.00,30.00,14.00,0.00,
11.00,53.00,91.00,-1.00,0.00,0.00,0.00,0.00,14.00,3.00,0.00,0.00,0.00,
12.00,56.00,40.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,31.00,0.00,
13.00,57.00,215.00,15.00,0.00,0.00,0.00,0.00,71.00,9.00,8658.00,0.00,0.00,
14.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
15.00,55.00,118.00,63.00,0.00,0.00,0.00,0.00,5.00,1.00,995.00,0.00,0.00,
16.00,56.00,59.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,31.00,0.00,
17.00,52.00,67.00,25.00,0.00,0.00,0.00,0.00,4.00,0.00,77.00,31.00,0.00,
18.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,31.00,0.00,
19.00,54.00,258.00,-4.00,1.00,0.00,3.00,0.00,34.00,6.00,149.00,0.00,0.00,
20.00,54.00,89.00,-12.00,1.00,1.00,3.00,3.00,-41.00,-8.00,-29.00,0.00,0.00,
21.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
22.00,54.00,142.00,1.00,0.00,0.00,0.00,0.00,26.00,1.00,-4.00,13.00,0.00,
23.00,53.00,86.00,10.00,0.00,0.00,0.00,0.00,2.00,0.00,-53.00,-31.00,0.00,
24.00,53.00,100.00,5.00,0.00,-1.00,0.00,-3.00,0.00,0.00,-8.00,2.00,0.00,
25.00,53.00,103.00,-12.00,0.00,0.00,0.00,0.00,-6.00,-1.00,40.00,-1.00,0.00,
26.00,46.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,0.00,
27.00,53.00,182.00,8.00,8.00,6.00,3.00,-0.50,38.00,1.00,671.00,0.00,0.00,
28.00,53.00,230.00,0.00,0.00,0.00,0.00,0.00,84.00,3.00,13043.00,0.00,0.00,
29.00,52.00,179.00,-22.00,2.00,1.00,3.00,0.00,10.00,-2.00,5.00,-1.00,0.00,
30.00,53.00,48.00,-10.00,0.00,0.00,0.00,0.00,-15.00,0.00,12.00,-18.00,0.00,
31.00,52.00,99.00,-6.00,0.00,0.00,0.00,0.00,-8.00,0.00,-23.00,-31.00,0.00,
32.00,32.00,67.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
33.00,52.00,160.00,10.00,3.00,3.00,3.00,3.00,12.00,0.00,481.00,4.00,0.00,
34.00,52.00,91.00,50.00,4.00,1.00,3.00,0.00,26.00,0.00,0.00,-11.00,0.00,
35.00,52.00,105.00,1.00,0.00,0.00,0.00,0.00,14.00,1.00,0.00,0.00,0.00,
36.00,52.00,93.00,-29.00,0.00,0.00,0.00,0.00,-7.00,1.00,4682.00,0.00,0.00,
37.00,51.00,143.00,-32.00,4.00,1.00,2.50,0.17,61.00,-1.00,67.00,0.00,0.00,
38.00,50.00,108.00,40.00,1.00,1.00,3.00,3.00,43.00,0.00,16.00,0.00,0.00,
39.00,52.00,168.00,-5.00,8.00,-3.00,3.00,0.00,62.00,2.00,589.00,-31.00,0.00,
40.00,52.00,186.00,-4.00,2.00,1.00,2.50,-0.50,86.00,-3.00,2139.00,4.00,0.00,
41.00,52.00,75.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,
42.00,51.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
43.00,49.00,124.00,34.00,0.00,0.00,0.00,0.00,10.00,0.00,-188.00,31.00,0.00,
44.00,43.00,147.00,-7.00,1.00,1.00,3.00,3.00,-25.00,-2.00,138.00,-1.00,0.00,
45.00,51.00,134.00,1.00,3.00,2.00,3.00,0.00,10.00,0.00,0.00,0.00,0.00,
46.00,51.00,77.00,-1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-81.00,-6.00,0.00,
47.00,48.00,57.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,2379.00,31.00,0.00,
48.00,50.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-300.00,31.00,0.00,
49.00,44.00,51.00,-1.00,1.00,-1.00,3.00,0.00,-12.00,0.00,0.00,-133.00,0.00,
50.00,49.00,85.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-12.00,0.00,
51.00,49.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
52.00,45.00,87.00,-3.00,1.00,1.00,3.00,3.00,9.00,0.00,0.00,-143.00,0.00,
53.00,49.00,210.00,2.00,2.00,-3.00,2.50,-0.50,181.00,-3.00,724.00,0.00,0.00,
54.00,47.00,122.00,2.00,3.00,-6.00,3.00,0.00,-31.00,0.00,122.00,0.00,1.00,
55.00,48.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,
56.00,49.00,179.00,14.00,1.00,1.00,3.00,3.00,54.00,-1.00,-124.00,-1.00,0.00,
57.00,49.00,0.00,-21.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,4.00,0.00,
58.00,35.00,152.00,0.00,0.00,0.00,0.00,0.00,-13.00,0.00,82.00,0.00,0.00,
59.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
60.00,47.00,0.00,-26.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,-53.00,1.00,
61.00,47.00,7.00,7.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,31.00,0.00,
62.00,48.00,14.00,14.00,0.00,0.00,0.00,0.00,4.00,0.00,-5.00,31.00,0.00,
